                     OI-7500 Modbus Register Map,,,,,,,
"Register Address
(Hexadecimal)",Register Address (Decimal),"

Data Description",,"

R/W",Length (In Bits),"

Units","

Valid Response"
16C,364,Channel 12 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
16D,365,Channel 13 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
16E,366,Channel 14 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
16F,367,Channel 15 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
170,368,Channel 16 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
171,369,Channel 17 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
172,370,Channel 18 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
173,371,Channel 19 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
174,372,Channel 20 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
175,373,Channel 21 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
176,374,Channel 22 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
177,375,Channel 23 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
178,376,Channel 24 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
179,377,Channel 25 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17A,378,Channel 26 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17B,379,Channel 27 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17C,380,Channel 28 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17D,381,Channel 29 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17E,382,Channel 30 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
17F,383,Channel 31 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
180,384,Channel 32 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
181,385,Channel 1 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
182,386,Channel 2 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
183,387,Channel 3 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
184,388,Channel 4 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
185,389,Channel 5 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
186,390,Channel 6 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
187,391,Channel 7 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
188,392,Channel 8 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
189,393,Channel 9 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18A,394,Channel 10 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18B,395,Channel 11 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18C,396,Channel 12 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18D,397,Channel 13 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18E,398,Channel 14 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
18F,399,Channel 15 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
190,400,Channel 16 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
191,401,Channel 17 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
192,402,Channel 18 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
193,403,Channel 19 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
194,404,Channel 20 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
195,405,Channel 21 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
196,406,Channel 22 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
197,407,Channel 23 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
198,408,Channel 24 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
199,409,Channel 25 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19A,410,Channel 26 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19B,411,Channel 27 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19C,412,Channel 28 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19D,413,Channel 29 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19E,414,Channel 30 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
19F,415,Channel 31 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
1A0,416,Channel 32 Relay 1 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
1A1,417,Channel 1 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1A3,419,Channel 2 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1A5,421,Channel 3 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1A7,423,Channel 4 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1A9,425,Channel 5 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1AB,427,Channel 6 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1AD,429,Channel 7 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1AF,431,Channel 8 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1B1,433,Channel 9 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1B3,435,Channel 10 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1B5,437,Channel 11 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1B7,439,Channel 12 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1B9,441,Channel 13 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1BB,443,Channel 14 Relay 1 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1BD,445,Channel 15 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1BF,447,Channel 16 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1C1,449,Channel 17 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1C3,451,Channel 18 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1C5,453,Channel 19 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1C7,455,Channel 20 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1C9,457,Channel 21 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1CB,459,Channel 22 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1CD,461,Channel 23 Relay 1 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1CF,463,Channel 24 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1D1,465,Channel 25 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1D3,467,Channel 26 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1D5,469,Channel 27 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1D7,471,Channel 28 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1D9,473,Channel 29 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1DB,475,Channel 30 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1DD,477,Channel 31 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1DF,479,Channel 32 Relay 1 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
1E1,481,Channel 1 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E2,482,Channel 2 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E3,483,Channel 3 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E4,484,Channel 4 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E5,485,Channel 5 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E6,486,Channel 6 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E7,487,Channel 7 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E8,488,Channel 8 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1E9,489,Channel 9 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1EA,490,Channel 10 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1EB,491,Channel 11 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1EC,492,Channel 12 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1ED,493,Channel 13 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1EE,494,Channel 14 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1EF,495,Channel 15 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F0,496,Channel 16 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F1,497,Channel 17 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F2,498,Channel 18 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F3,499,Channel 19 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F4,500,Channel 20 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F5,501,Channel 21 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F6,502,Channel 22 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F7,503,Channel 23 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F8,504,Channel 24 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1F9,505,Channel 25 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FA,506,Channel 26 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FB,507,Channel 27 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FC,508,Channel 28 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FD,509,Channel 29 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FE,510,Channel 30 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
1FF,511,Channel 31 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
200,512,Channel 32 Relay 1 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
201,513,Channel 1 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
202,514,Channel 2 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
203,515,Channel 3 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
204,516,Channel 4 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
205,517,Channel 5 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
206,518,Channel 6 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
207,519,Channel 7 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
208,520,Channel 8 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
209,521,Channel 9 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20A,522,Channel 10 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20B,523,Channel 11 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20C,524,Channel 12 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20D,525,Channel 13 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20E,526,Channel 14 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
20F,527,Channel 15 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
210,528,Channel 16 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
211,529,Channel 17 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
212,530,Channel 18 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
213,531,Channel 19 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
214,532,Channel 20 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
215,533,Channel 21 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
216,534,Channel 22 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
217,535,Channel 23 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
218,536,Channel 24 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
219,537,Channel 25 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21A,538,Channel 26 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21B,539,Channel 27 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21C,540,Channel 28 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21D,541,Channel 29 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21E,542,Channel 30 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
21F,543,Channel 31 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
220,544,Channel 32 Relay 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
221,545,Channel 1 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
222,546,Channel 2 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
223,547,Channel 3 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
224,548,Channel 4 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
225,549,Channel 5 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
226,550,Channel 6 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
227,551,Channel 7 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
228,552,Channel 8 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
229,553,Channel 9 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22A,554,Channel 10 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22B,555,Channel 11 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22C,556,Channel 12 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22D,557,Channel 13 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22E,558,Channel 14 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
22F,559,Channel 15 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
230,560,Channel 16 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
231,561,Channel 17 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
232,562,Channel 18 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
233,563,Channel 19 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
234,564,Channel 20 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
235,565,Channel 21 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
236,566,Channel 22 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
237,567,Channel 23 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
238,568,Channel 24 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
239,569,Channel 25 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23A,570,Channel 26 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23B,571,Channel 27 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23C,572,Channel 28 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23D,573,Channel 29 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23E,574,Channel 30 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
23F,575,Channel 31 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
240,576,Channel 32 Relay 2 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
241,577,Channel 1 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
243,579,Channel 2 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
245,581,Channel 3 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
247,583,Channel 4 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
249,585,Channel 5 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
24B,587,Channel 6 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
24D,589,Channel 7 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
24F,591,Channel 8 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
251,593,Channel 9 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
253,595,Channel 10 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
255,597,Channel 11 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
257,599,Channel 12 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
259,601,Channel 13 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
25B,603,Channel 14 Relay 2 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
25D,605,Channel 15 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
25F,607,Channel 16 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
261,609,Channel 17 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
263,611,Channel 18 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
265,613,Channel 19 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
267,615,Channel 20 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
269,617,Channel 21 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26B,619,Channel 22 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26D,621,Channel 23 Relay 2 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26F,623,Channel 24 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
271,625,Channel 25 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
273,627,Channel 26 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
275,629,Channel 27 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
277,631,Channel 28 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
279,633,Channel 29 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27B,635,Channel 30 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27D,637,Channel 31 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27F,639,Channel 32 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
281,641,Channel 1 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
282,642,Channel 2 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
283,643,Channel 3 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
284,644,Channel 4 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
285,645,Channel 5 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
286,646,Channel 6 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
287,647,Channel 7 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
288,648,Channel 8 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
289,649,Channel 9 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28A,650,Channel 10 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28B,651,Channel 11 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28C,652,Channel 12 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28D,653,Channel 13 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28E,654,Channel 14 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28F,655,Channel 15 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
290,656,Channel 16 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
291,657,Channel 17 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
292,658,Channel 18 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
293,659,Channel 19 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
294,660,Channel 20 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
295,661,Channel 21 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
296,662,Channel 22 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
297,663,Channel 23 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
298,664,Channel 24 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
